folder_id,real_filename,meeting_date,meeting_name,belongs_to
CVWR5T6B198F,Athletic Workers 2023-2024.pdf,27/09/2023,Regular Meeting,Supplemental Recommendations
CVZ2S80387F3,Bank Reconciliations FY24.xlsx - AUG '23.pdf,27/09/2023,Regular Meeting,Financial Report
CVZH8M4746D3,NEOLA BBHCSD Policy Review Meeting_Sept 2023.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH8R474B8E,po0141.2 CONFLICT OF INTEREST.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH8Z47552D,PO2623.02 THIRD GRADE READING GUARANTEE.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9547576A,po3120.08 EMPLOYMENT OF PERSONNEL FOR CO-CURRICULAR-EXTRA-CURRICULAR ACTIVITES.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH974758D3,po4120.08 EMPLOYMENT OF PERSONNEL FOR CO-CURRICULAR-EXTRA-CURRICULAR ACTIVITES.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9B475BCE,po5113.01 INTRA-DISTRICT OPEN ENROLLMENT.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9D476088,po5320 IMMUNIZATION.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9H4766FD,po5337 CARE OF STUDENTS WITH ACTIVE SEIZURE DISORDERS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9L4768F9,po6240 BOARD OF REVISION COMPLAINTS AND COUNTERCOMPLAINTS.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9N476BC7,po6700 FAIR LABOR STANDARDS ACT (FSLA).pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
CVZH9S476DF9,po7440 FACILITY SECURITY.pdf,27/09/2023,Regular Meeting,New/Revised Board Policy ~ First Reading
